stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,Class
1,9987,9993,1.73,3.4,5,0
1,10000,9994,1.95,3.2,3.6,0
1,9984,8635,2.38,3.3,2.75,2
1,9991,9998,1.44,3.75,7.5,1
1,7947,9985,5,3.5,1.65,2
1,8203,8342,4.75,3.4,1.67,0
1,9999,8571,2.1,3.2,3.3,0
1,4049,9996,3.2,3.4,2.2,2
1,10001,9986,2.25,3.25,2.88,1
10,8342,8571,1.3,5.25,9.5,1
10,9985,9986,1.3,5.25,9.5,2
10,10000,9991,2.6,3.2,2.5,2
10,9994,9998,1.91,3.4,4,0
10,7947,10001,2.9,3.3,2.38,0
10,8203,9999,1.7,3.3,4.5,2
10,9996,9984,2.35,3.3,3,2
10,4049,9987,6,3.75,1.57,2
10,9993,8635,4,3.25,1.83,2
11,8635,9994,1.36,4.75,8.5,2
11,9998,9996,2.4,3.3,2.9,0
11,9986,8342,3.2,3.3,2.25,0
11,9984,10000,1.75,3.75,4.33,1
11,9991,7947,1.4,4.33,8,0
11,9999,4049,1.83,3.5,4.2,2
11,8571,8203,2,3.5,3.6,0
11,10001,9987,2.7,3.25,2.6,1
11,9993,9985,3.6,3.3,2.05,2
12,8342,8635,2.3,3.25,2.9,0
12,9987,9999,1.25,5.25,10,0
12,10000,9993,2,3.25,3.5,0
12,9994,9985,3.25,3.25,2.1,0
12,7947,8571,2.3,3.25,2.8,1
12,8203,9998,2.05,3.25,3.4,0
12,9996,9986,2.2,3.25,3,1
12,4049,9984,4.33,3.4,1.75,1
12,10001,9991,2.5,3.3,2.75,1
13,8635,10001,1.44,4.33,7,1
13,9985,9996,1.36,4.5,9,1
13,9998,8342,4.33,3.4,1.85,2
13,9986,4049,1.44,4.33,7,1
13,9984,8203,1.67,3.75,5.5,1
13,9991,9987,2.1,3.3,3.2,2
13,9999,7947,2.4,3.3,2.88,0
13,8571,10000,2.38,3.4,2.88,1
13,9993,9994,2.2,3.3,3.3,2
14,8342,9993,1.44,4.2,6,1
14,9987,9984,1.73,3.4,4.5,1
14,10000,9986,2.2,3.25,3,1
14,9991,9999,1.29,4.75,9.5,1
14,7947,8635,5,3.75,1.67,2
14,8203,9985,4.75,3.5,1.67,0
14,9996,9994,2.2,3.25,3,1
14,4049,8571,2.3,3.2,2.88,0
14,10001,9998,1.57,3.6,5.25,1
15,8635,4049,1.2,6,11,1
15,9985,10000,1.36,4.5,7.5,2
15,9998,7947,2.1,3.25,3.25,1
15,9986,8203,1.67,3.4,5,2
15,9984,9991,2.4,3.3,2.88,1
15,9994,8342,2.88,3.2,2.3,1
15,9999,10001,3.25,3.3,2.1,1
15,8571,9987,3.25,3.25,2.1,1
15,9993,9996,2.2,3.25,3,1
16,8342,9985,2.62,3.2,2.62,2
16,9987,9986,1.53,4,6,1
16,10000,9996,2.05,3.3,3.6,1
16,9991,8571,1.5,4,6.5,0
16,7947,9994,3.25,3.25,2.2,0
16,8203,9993,2.5,3.3,2.75,1
16,9999,8635,8,4.75,1.36,2
16,4049,9998,2.8,3.25,2.5,1
16,10001,9984,2.05,3.3,3.6,2
17,8635,9987,1.57,3.8,6,1
17,9985,9991,1.5,4.2,6.5,1
17,9998,10000,2.25,3.25,3.25,0
17,9986,7947,1.61,3.75,5.5,1
17,9984,9999,1.4,4.33,8.5,1
17,9994,8203,1.83,3.4,4.5,0
17,9996,8342,3,3.25,2.4,1
17,8571,10001,2.3,3.25,3.2,0
17,9993,4049,1.57,3.8,6,1
18,9993,9987,2.6,3.3,2.62,1
18,9994,10000,2.1,3.2,3.3,1
18,8635,9984,1.36,4.5,9,2
18,9998,9991,2.8,3.3,2.3,2
18,9985,7947,1.2,6.5,13,1
18,8342,8203,1.45,4,6,1
18,8571,9999,1.67,3.5,4.75,1
18,9996,4049,1.45,3.8,6.5,0
18,9986,10001,2.1,3.3,3.5,2
19,10000,8342,2.7,3.25,2.4,1
19,9991,8635,3,3.3,2.2,2
19,10001,9985,3.4,3.25,2,2
19,9987,9998,1.44,4,6.5,1
19,9999,9986,2.7,3.2,2.4,1
19,4049,9994,2.9,3.2,2.25,1
19,8203,9996,2.3,3.25,2.8,0
19,9984,8571,1.57,3.6,5.25,2
19,7947,9993,3.2,3.25,2.1,2
2,8342,10000,1.33,4.5,8,1
2,8635,9991,1.65,3.4,5,0
2,9985,10001,1.33,4.2,10,1
2,9998,9987,3.6,3.3,1.95,1
2,9986,9999,1.5,3.6,6.5,1
2,9994,4049,1.65,3.6,4.75,1
2,9996,8203,2.05,3.3,3.4,1
2,8571,9984,3,3.25,2.2,1
2,9993,7947,1.53,3.75,5.5,0
20,8571,8635,4.75,3.6,1.66,2
20,9994,9987,2.4,3.25,2.7,2
20,9998,9984,3.25,3.2,2.2,0
20,9986,9991,2.6,3.25,2.5,2
20,9996,7947,1.57,3.5,5.5,2
20,10000,8203,1.8,3.4,4,0
20,9985,9999,1.2,5.5,11,1
20,8342,4049,1.3,5,8.5,1
20,9993,10001,1.9,3.3,3.6,1
21,7947,8342,4.33,3.4,1.72,2
21,8571,9985,5,3.75,1.66,2
21,8635,9998,1.2,5.5,13,1
21,9987,10000,1.66,3.4,4.75,2
21,9984,9986,1.57,3.5,5.5,0
21,10001,9994,2,3.2,3.5,1
21,4049,8203,2.5,3.2,2.62,2
21,9991,9996,1.57,3.5,5.5,1
21,9999,9993,3.1,3.2,2.15,0
22,9986,8635,4.33,3.5,1.72,2
22,8342,9987,1.9,3.25,3.8,2
22,9993,9984,2.15,3.3,3.1,0
22,8203,9991,2.7,3.3,2.37,0
22,10000,7947,1.57,3.5,5.75,1
22,9994,9999,1.66,3.4,5,1
22,9998,8571,2.1,3.3,3.2,0
22,9985,4049,1.22,5.75,10,1
22,9996,10001,2.4,3.3,2.7,0
